model,estimator,segment,rmse,mae,r2,directional_accuracy,n_obs
A_base_macro,linear,unclassified,0.02865844372480858,0.020057216273570634,-0.7659377540407788,0.5542328042328042,756
A_base_macro,random_forest,unclassified,0.02780321868500471,0.020564826310821623,-0.6621122005379976,0.5396825396825397,756
A_base_macro,xgboost,unclassified,0.02788501796633643,0.0212626964886024,-0.6719067201578262,0.5185185185185185,756
B_base_macro_sentiment,linear,unclassified,0.02895611612000951,0.02036483501833642,-0.8028135154600318,0.5529100529100529,756
B_base_macro_sentiment,random_forest,unclassified,0.027571467409941573,0.02040897682613578,-0.6345189035244769,0.5436507936507936,756
B_base_macro_sentiment,xgboost,unclassified,0.0276593685510744,0.021131161409007282,-0.6449576011067222,0.5277777777777778,756
C_full,linear,unclassified,0.028956116120009513,0.020364835018336424,-0.8028135154600324,0.5529100529100529,756
C_full,random_forest,unclassified,0.02749010679171223,0.020338016519310068,-0.6248865358906026,0.5423280423280423,756
C_full,xgboost,unclassified,0.02763182092392096,0.021121236124216087,-0.641682608563839,0.5264550264550265,756
