model,estimator,label_type,segment,precision,recall,f1,roc_auc,precision_tol,recall_tol,f1_tol,tn,fp,fn,tp,n_obs
A_base_macro,lightgbm,spike_roll,high_vix,0.18253968253968253,0.27058823529411763,0.21800947867298578,0.16151731720725676,0.18253968253968253,0.27058823529411763,0.21800947867298576,4,103,62,23,192
A_base_macro,logistic,spike_roll,high_vix,0.62,0.36470588235294116,0.45925925925925926,0.634524463991204,0.64,0.3764705882352941,0.47407407407407404,88,19,54,31,192
A_base_macro,random_forest,spike_roll,high_vix,0.18253968253968253,0.27058823529411763,0.21800947867298578,0.18031885651456847,0.18253968253968253,0.27058823529411763,0.21800947867298576,4,103,62,23,192
B_base_macro_sentiment,lightgbm,spike_roll,high_vix,0.18253968253968253,0.27058823529411763,0.21800947867298578,0.20747663551401868,0.18253968253968253,0.27058823529411763,0.21800947867298576,4,103,62,23,192
B_base_macro_sentiment,logistic,spike_roll,high_vix,0.4583333333333333,0.25882352941176473,0.3308270676691729,0.4813633864760859,0.4583333333333333,0.25882352941176473,0.33082706766917297,81,26,63,22,192
B_base_macro_sentiment,random_forest,spike_roll,high_vix,0.18253968253968253,0.27058823529411763,0.21800947867298578,0.2319956019791094,0.18253968253968253,0.27058823529411763,0.21800947867298576,4,103,62,23,192
C_full,lightgbm,spike_roll,high_vix,0.18253968253968253,0.27058823529411763,0.21800947867298578,0.20747663551401868,0.18253968253968253,0.27058823529411763,0.21800947867298576,4,103,62,23,192
C_full,logistic,spike_roll,high_vix,0.4583333333333333,0.25882352941176473,0.3308270676691729,0.4813633864760859,0.4583333333333333,0.25882352941176473,0.33082706766917297,81,26,63,22,192
C_full,random_forest,spike_roll,high_vix,0.18253968253968253,0.27058823529411763,0.21800947867298578,0.23804288070368335,0.18253968253968253,0.27058823529411763,0.21800947867298576,4,103,62,23,192
A_base_macro,lightgbm,spike_roll,low_vix,1.0,0.046511627906976744,0.08888888888888889,0.619287689055131,1.0,0.046511627906976744,0.08888888888888888,143,0,41,2,186
A_base_macro,logistic,spike_roll,low_vix,0.10526315789473684,0.18604651162790697,0.13445378151260504,0.34509676370141484,0.11842105263157894,0.20930232558139536,0.15126050420168066,75,68,35,8,186
A_base_macro,random_forest,spike_roll,low_vix,0.0,0.0,0.0,0.6370141486420555,0.0,0.0,0.0,143,0,43,0,186
B_base_macro_sentiment,lightgbm,spike_roll,low_vix,1.0,0.046511627906976744,0.08888888888888889,0.6249796714912994,1.0,0.046511627906976744,0.08888888888888888,143,0,41,2,186
B_base_macro_sentiment,logistic,spike_roll,low_vix,0.11904761904761904,0.23255813953488372,0.15748031496062992,0.3476988128150919,0.13095238095238096,0.2558139534883721,0.17322834645669294,69,74,33,10,186
B_base_macro_sentiment,random_forest,spike_roll,low_vix,0.0,0.0,0.0,0.6461213205399252,0.0,0.0,0.0,143,0,43,0,186
C_full,lightgbm,spike_roll,low_vix,1.0,0.046511627906976744,0.08888888888888889,0.6249796714912994,1.0,0.046511627906976744,0.08888888888888888,143,0,41,2,186
C_full,logistic,spike_roll,low_vix,0.11904761904761904,0.23255813953488372,0.15748031496062992,0.3476988128150919,0.13095238095238096,0.2558139534883721,0.17322834645669294,69,74,33,10,186
C_full,random_forest,spike_roll,low_vix,0.0,0.0,0.0,0.6900308993332249,0.0,0.0,0.0,143,0,43,0,186
A_base_macro,lightgbm,spike_top10,high_vix,0.6530612244897959,0.8205128205128205,0.7272727272727273,0.5725316828765105,0.6571428571428571,0.8256410256410256,0.7318181818181817,4,170,70,320,564
A_base_macro,logistic,spike_top10,high_vix,0.6598639455782312,0.7461538461538462,0.7003610108303249,0.40075154730327145,0.671201814058957,0.7589743589743589,0.7123947051744886,24,150,99,291,564
A_base_macro,random_forest,spike_top10,high_vix,0.6624472573839663,0.8051282051282052,0.7268518518518519,0.5483790156203949,0.6645569620253164,0.8076923076923077,0.7291666666666667,14,160,76,314,564
B_base_macro_sentiment,lightgbm,spike_top10,high_vix,0.6551724137931034,0.8282051282051283,0.7315968289920725,0.5306955496610669,0.6551724137931034,0.8282051282051283,0.7315968289920725,4,170,67,323,564
B_base_macro_sentiment,logistic,spike_top10,high_vix,0.6569506726457399,0.7512820512820513,0.7009569377990431,0.4510462717359269,0.6659192825112108,0.7615384615384615,0.7105263157894738,21,153,97,293,564
B_base_macro_sentiment,random_forest,spike_top10,high_vix,0.6610878661087866,0.8102564102564103,0.728110599078341,0.48188918361332156,0.6610878661087866,0.8102564102564103,0.7281105990783411,12,162,74,316,564
C_full,lightgbm,spike_top10,high_vix,0.6551724137931034,0.8282051282051283,0.7315968289920725,0.5306955496610669,0.6551724137931034,0.8282051282051283,0.7315968289920725,4,170,67,323,564
C_full,logistic,spike_top10,high_vix,0.6569506726457399,0.7512820512820513,0.7009569377990431,0.4510462717359269,0.6659192825112108,0.7615384615384615,0.7105263157894738,21,153,97,293,564
C_full,random_forest,spike_top10,high_vix,0.6624737945492662,0.8102564102564103,0.7289504036908881,0.48779104037724724,0.6624737945492662,0.8102564102564103,0.7289504036908881,13,161,74,316,564
A_base_macro,lightgbm,spike_top10,low_vix,0.0,0.0,0.0,0.5735294117647058,0.0,0.0,0.0,32,0,34,0,66
A_base_macro,logistic,spike_top10,low_vix,1.0,0.058823529411764705,0.1111111111111111,0.515625,1.0,0.058823529411764705,0.1111111111111111,32,0,32,2,66
A_base_macro,random_forest,spike_top10,low_vix,1.0,0.08823529411764706,0.16216216216216217,0.3492647058823529,1.0,0.08823529411764706,0.1621621621621622,32,0,31,3,66
B_base_macro_sentiment,lightgbm,spike_top10,low_vix,1.0,0.058823529411764705,0.1111111111111111,0.6341911764705882,1.0,0.058823529411764705,0.1111111111111111,32,0,32,2,66
B_base_macro_sentiment,logistic,spike_top10,low_vix,1.0,0.17647058823529413,0.3,0.5873161764705882,1.0,0.17647058823529413,0.3,32,0,28,6,66
B_base_macro_sentiment,random_forest,spike_top10,low_vix,1.0,0.08823529411764706,0.16216216216216217,0.603860294117647,1.0,0.08823529411764706,0.1621621621621622,32,0,31,3,66
C_full,lightgbm,spike_top10,low_vix,1.0,0.058823529411764705,0.1111111111111111,0.6341911764705882,1.0,0.058823529411764705,0.1111111111111111,32,0,32,2,66
C_full,logistic,spike_top10,low_vix,1.0,0.17647058823529413,0.3,0.5873161764705882,1.0,0.17647058823529413,0.3,32,0,28,6,66
C_full,random_forest,spike_top10,low_vix,1.0,0.14705882352941177,0.2564102564102564,0.4871323529411765,1.0,0.14705882352941177,0.25641025641025644,32,0,29,5,66
